uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
uniqueid_6317,No,Urban,No,4.0,17,Female,Child,Divorced/Seperated,Secondary education,No Income
uniqueid_1030,No,Urban,No,2.0,36,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_630,No,Urban,No,1.0,52,Male,Head of Household,Widowed,Primary education,Self employed
uniqueid_5605,No,Urban,Yes,2.0,24,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2933,No,Urban,Yes,2.0,18,Male,Child,Divorced/Seperated,Tertiary education,Informally employed
uniqueid_3298,No,Urban,No,3.0,16,Female,Child,Divorced/Seperated,Primary education,Informally employed
uniqueid_2284,No,Urban,No,1.0,75,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_6485,No,Urban,Yes,3.0,57,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4792,No,Urban,No,3.0,16,Female,Parent,Divorced/Seperated,No formal education,Informally employed
uniqueid_134,No,Urban,Yes,4.0,58,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1659,No,Urban,No,2.0,20,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1011,No,Urban,No,2.0,24,Female,Spouse,Single/Never Married,No formal education,Informally employed
uniqueid_3874,No,Rural,No,5.0,40,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_5394,No,Urban,No,3.0,36,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6536,No,Urban,No,5.0,23,Male,Child,Divorced/Seperated,No formal education,Self employed
uniqueid_2770,No,Rural,Yes,3.0,27,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_4949,No,Urban,Yes,2.0,45,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_6526,No,Urban,Yes,2.0,20,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_1893,No,Urban,No,1.0,80,Female,Head of Household,Widowed,Primary education,Remittance Dependent
uniqueid_5195,No,Rural,Yes,2.0,35,Male,Head of Household,Single/Never Married,Secondary education,Self employed
uniqueid_1187,No,Rural,Yes,2.0,27,Male,Head of Household,Single/Never Married,Secondary education,Self employed
uniqueid_173,No,Urban,Yes,2.0,37,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_1547,No,Rural,No,2.0,23,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_3658,Yes,Rural,Yes,3.0,40,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_2316,No,Urban,Yes,3.0,70,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4640,No,Urban,No,2.0,29,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_2465,No,Urban,Yes,,45,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_4874,No,Rural,Yes,6.0,33,Female,Parent,Single/Never Married,Primary education,Self employed
uniqueid_3268,No,Urban,No,1.0,35,Female,Head of Household,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_4924,No,Urban,Yes,2.0,21,Female,Spouse,Single/Never Married,Tertiary education,Self employed
uniqueid_4825,No,Urban,No,,47,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_3788,Yes,Rural,Yes,1.0,32,Female,Head of Household,Married/Living together,Tertiary education,Self employed
uniqueid_1418,No,Urban,No,6.0,18,Male,Parent,Divorced/Seperated,Primary education,Self employed
uniqueid_5058,No,Urban,No,2.0,21,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2067,No,Urban,No,2.0,29,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_2110,No,Urban,Yes,1.0,45,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_1639,No,Rural,Yes,1.0,23,Female,Head of Household,Married/Living together,No formal education,Self employed
uniqueid_3811,No,Urban,Yes,2.0,67,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Self employed
uniqueid_4729,No,Urban,No,3.0,66,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_2671,No,Rural,Yes,2.0,51,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4836,Yes,Rural,Yes,1.0,22,Male,Head of Household,Divorced/Seperated,Tertiary education,Informally employed
uniqueid_4901,No,Rural,Yes,2.0,38,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_888,No,Urban,No,1.0,63,Male,Head of Household,Widowed,Primary education,Self employed
uniqueid_2127,No,Urban,Yes,2.0,44,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3013,No,Rural,Yes,3.0,29,Female,Spouse,Single/Never Married,Tertiary education,Informally employed
uniqueid_2570,No,Rural,No,2.0,34,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_361,No,Rural,Yes,3.0,23,Male,Other relative,Divorced/Seperated,Secondary education,Informally employed
uniqueid_5903,No,Rural,Yes,4.0,20,Male,Other non-relatives,Divorced/Seperated,Primary education,Formally employed Private
uniqueid_5516,Yes,Rural,Yes,1.0,28,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_4086,No,Urban,Yes,1.0,34,Female,Head of Household,Married/Living together,No formal education,Self employed
uniqueid_2526,No,Urban,Yes,1.0,29,Male,Head of Household,Married/Living together,Secondary education,Self employed
uniqueid_3862,Yes,Rural,Yes,,32,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
uniqueid_5854,No,Urban,No,4.0,18,Female,Parent,Divorced/Seperated,Secondary education,Self employed
uniqueid_4695,No,Rural,Yes,4.0,20,Male,Other relative,Divorced/Seperated,Tertiary education,Remittance Dependent
uniqueid_5316,No,Urban,Yes,3.0,50,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4536,No,Urban,No,2.0,60,Female,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_1722,No,Urban,Yes,2.0,32,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5412,No,Rural,Yes,4.0,34,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_5962,No,Urban,Yes,2.0,50,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2183,No,Rural,Yes,5.0,22,Female,Parent,Divorced/Seperated,Tertiary education,No Income
uniqueid_1130,No,Urban,No,5.0,16,Female,Other relative,Divorced/Seperated,Secondary education,Remittance Dependent
uniqueid_796,No,Urban,Yes,1.0,82,Male,Head of Household,Married/Living together,Tertiary education,Self employed
uniqueid_1532,No,Rural,No,,42,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_5097,No,Urban,Yes,1.0,49,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_5272,No,Rural,Yes,6.0,39,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_2850,No,Urban,No,1.0,60,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_4857,No,Urban,No,2.0,28,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2459,Yes,Urban,No,3.0,26,Female,Parent,Single/Never Married,Primary education,Remittance Dependent
uniqueid_1332,No,Rural,Yes,6.0,40,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4440,No,Rural,Yes,1.0,28,Female,Head of Household,Married/Living together,Primary education,Formally employed Private
uniqueid_6114,No,Rural,Yes,3.0,22,Female,Other relative,Divorced/Seperated,Vocational/Specialised training,Remittance Dependent
uniqueid_3844,No,Urban,Yes,2.0,37,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_860,No,Urban,Yes,1.0,47,Female,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_4693,No,Urban,Yes,2.0,42,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6555,No,Urban,Yes,2.0,42,Male,Head of Household,Single/Never Married,Secondary education,Self employed
uniqueid_4005,No,Urban,Yes,2.0,45,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_6034,No,Rural,No,2.0,16,Male,Other relative,Divorced/Seperated,Secondary education,No Income
uniqueid_5723,No,Urban,No,1.0,85,Male,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_5971,No,Urban,No,4.0,40,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_6366,No,Rural,No,1.0,18,Male,Head of Household,Divorced/Seperated,Secondary education,No Income
uniqueid_3583,No,Urban,Yes,4.0,19,Male,Parent,Divorced/Seperated,Primary education,Informally employed
uniqueid_5334,No,Urban,No,1.0,29,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_2254,Yes,Rural,Yes,2.0,26,Female,Head of Household,Divorced/Seperated,Vocational/Specialised training,Formally employed Private
uniqueid_4919,No,Urban,No,4.0,76,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_994,No,Urban,No,1.0,46,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
uniqueid_3915,Yes,Urban,Yes,2.0,55,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
uniqueid_77,No,Urban,Yes,2.0,39,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_3856,No,Urban,No,2.0,23,Female,Parent,Single/Never Married,No formal education,Self employed
uniqueid_4115,Yes,Rural,Yes,2.0,32,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
uniqueid_2611,No,Rural,No,3.0,16,Female,Child,Divorced/Seperated,Primary education,Remittance Dependent
uniqueid_4837,No,Urban,Yes,2.0,53,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_5994,Yes,Rural,Yes,2.0,25,Male,Head of Household,Divorced/Seperated,Tertiary education,Informally employed
uniqueid_585,No,Rural,Yes,4.0,40,Male,Other relative,Married/Living together,Primary education,Self employed
uniqueid_5900,No,Urban,Yes,3.0,30,Female,Head of Household,Widowed,Primary education,Remittance Dependent
uniqueid_4835,No,Rural,Yes,3.0,22,Male,Parent,Divorced/Seperated,Secondary education,Self employed
uniqueid_5234,Yes,Rural,Yes,2.0,29,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_4994,No,Urban,No,1.0,40,Female,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_4697,No,Urban,Yes,,57,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_2470,No,Rural,Yes,2.0,26,Female,Spouse,Single/Never Married,Secondary education,Self employed
uniqueid_4304,No,Rural,Yes,,26,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_893,No,Urban,No,3.0,27,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6068,No,Urban,No,2.0,52,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_465,No,Urban,No,2.0,37,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2692,No,Rural,No,2.0,16,Female,Child,Divorced/Seperated,Primary education,Self employed
uniqueid_5751,Yes,Urban,Yes,2.0,53,Male,Head of Household,Single/Never Married,Secondary education,Self employed
uniqueid_4549,No,Urban,No,1.0,20,Female,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_2133,Yes,Urban,Yes,3.0,76,Female,Head of Household,Widowed,Primary education,Remittance Dependent
uniqueid_6559,No,Urban,Yes,2.0,24,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1977,No,Urban,Yes,1.0,82,Male,Head of Household,Widowed,Primary education,Self employed
uniqueid_1415,No,Urban,No,2.0,28,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6062,No,Urban,Yes,2.0,22,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_6144,No,Rural,Yes,4.0,43,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5645,No,Urban,No,1.0,28,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_2546,No,Rural,Yes,2.0,19,Female,Other relative,Divorced/Seperated,Primary education,Remittance Dependent
uniqueid_1870,No,Urban,Yes,2.0,25,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4766,No,Urban,Yes,1.0,26,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5461,No,Rural,Yes,2.0,35,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_3732,Yes,Rural,Yes,4.0,54,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_6231,No,Rural,Yes,4.0,20,Female,Parent,Divorced/Seperated,Primary education,Self employed
uniqueid_6208,Yes,Rural,Yes,4.0,45,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1101,No,Urban,No,3.0,40,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_6291,No,Urban,No,2.0,45,Female,Parent,Married/Living together,Primary education,Self employed
uniqueid_5532,No,Urban,No,2.0,33,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_444,No,Rural,No,2.0,35,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5060,No,Urban,Yes,4.0,47,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1188,No,Rural,Yes,3.0,29,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_5481,No,Rural,Yes,,20,Male,Other relative,Divorced/Seperated,Primary education,Self employed
uniqueid_1570,No,Urban,No,3.0,22,Female,Other non-relatives,Single/Never Married,Primary education,Self employed
uniqueid_3867,No,Urban,No,2.0,24,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1086,No,Urban,No,2.0,30,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2275,No,Urban,Yes,3.0,40,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2598,No,Urban,Yes,2.0,30,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_4039,No,Urban,Yes,3.0,45,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_1519,No,Urban,No,1.0,30,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_6027,No,Urban,Yes,3.0,56,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6094,No,Urban,No,3.0,82,Female,Parent,Widowed,No formal education,Self employed
uniqueid_6541,No,Urban,Yes,2.0,36,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2388,No,Urban,Yes,2.0,34,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3091,No,Urban,No,2.0,48,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1688,No,Urban,Yes,6.0,35,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2362,No,Urban,No,2.0,63,Male,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_4481,No,Urban,Yes,3.0,46,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_486,No,Rural,No,1.0,50,Female,Head of Household,Married/Living together,No formal education,Self employed
uniqueid_5359,No,Urban,No,2.0,63,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent
uniqueid_5335,No,Rural,Yes,2.0,25,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_3416,No,Urban,Yes,2.0,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4706,No,Urban,Yes,2.0,56,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_4961,No,Urban,No,1.0,45,Female,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_6018,No,Urban,Yes,1.0,52,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_4613,No,Urban,No,2.0,25,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_1268,No,Urban,Yes,3.0,51,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1298,No,Urban,Yes,,24,Male,Parent,Single/Never Married,Primary education,Self employed
uniqueid_5456,No,Rural,Yes,2.0,27,Female,Spouse,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_2057,No,Rural,Yes,,18,Male,Parent,Divorced/Seperated,Primary education,Self employed
uniqueid_6224,No,Rural,Yes,,52,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3095,No,Urban,No,2.0,40,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4840,No,Rural,Yes,,21,Female,Spouse,Single/Never Married,Secondary education,No Income
uniqueid_2238,No,Rural,Yes,,39,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_4374,No,Urban,Yes,6.0,19,Male,Parent,Divorced/Seperated,Primary education,Self employed
uniqueid_5305,No,Urban,Yes,4.0,21,Female,Parent,Divorced/Seperated,Secondary education,Remittance Dependent
uniqueid_2048,No,Urban,Yes,1.0,47,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_4893,No,Urban,No,1.0,80,Female,Head of Household,Widowed,Other/Dont know/RTA,Self employed
uniqueid_411,No,Rural,Yes,2.0,24,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1767,Yes,Urban,Yes,5.0,27,Male,Parent,Divorced/Seperated,Vocational/Specialised training,Self employed
uniqueid_1029,No,Rural,Yes,3.0,16,Female,Parent,Married/Living together,Primary education,Remittance Dependent
uniqueid_6185,No,Urban,Yes,2.0,32,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2863,No,Urban,Yes,2.0,48,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_2617,No,Urban,Yes,2.0,35,Male,Head of Household,Single/Never Married,Tertiary education,Informally employed
uniqueid_6578,No,Urban,No,1.0,36,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_3653,No,Urban,No,,30,Female,Spouse,Single/Never Married,Secondary education,Self employed
uniqueid_246,No,Rural,No,3.0,32,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_4497,No,Urban,Yes,3.0,68,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_5719,No,Rural,No,3.0,83,Male,Head of Household,Widowed,Primary education,Other Income
uniqueid_3138,No,Rural,Yes,3.0,30,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6372,No,Rural,Yes,4.0,23,Female,Parent,Divorced/Seperated,Secondary education,Self employed
uniqueid_3846,Yes,Rural,Yes,4.0,40,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6637,No,Urban,Yes,1.0,25,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_5363,No,Urban,No,1.0,23,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4556,No,Rural,Yes,6.0,21,Male,Other relative,Divorced/Seperated,Secondary education,Remittance Dependent
uniqueid_3115,No,Urban,Yes,3.0,18,Male,Parent,Divorced/Seperated,Primary education,Informally employed
uniqueid_1747,No,Urban,No,1.0,36,Male,Head of Household,Married/Living together,Secondary education,Self employed
uniqueid_852,No,Urban,No,2.0,85,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_4324,No,Rural,Yes,2.0,33,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_6596,No,Urban,Yes,1.0,39,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_385,No,Rural,Yes,,19,Male,Parent,Divorced/Seperated,Secondary education,Informally employed
uniqueid_3250,No,Urban,No,1.0,70,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_669,No,Urban,No,2.0,35,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_3591,No,Urban,No,1.0,59,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_5465,No,Urban,Yes,4.0,52,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2358,No,Urban,No,2.0,41,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_113,No,Urban,No,2.0,19,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_3287,No,Urban,No,1.0,49,Female,Head of Household,Married/Living together,No formal education,Other Income
uniqueid_2022,No,Urban,No,2.0,73,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_928,No,Urban,Yes,5.0,40,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1019,No,Rural,No,1.0,70,Male,Head of Household,Widowed,No formal education,Self employed
uniqueid_4595,No,Rural,Yes,6.0,51,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_4322,No,Urban,Yes,5.0,50,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4573,No,Urban,No,2.0,59,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1857,No,Urban,No,,28,Female,Head of Household,Married/Living together,Tertiary education,Informally employed
uniqueid_1071,No,Urban,No,1.0,37,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3588,No,Urban,No,4.0,38,Female,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_1119,No,Urban,No,4.0,43,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_5766,No,Urban,Yes,1.0,27,Male,Head of Household,Divorced/Seperated,Secondary education,Self employed
uniqueid_1350,Yes,Rural,Yes,2.0,30,Female,Spouse,Single/Never Married,Vocational/Specialised training,Self employed
uniqueid_1802,No,Urban,No,2.0,45,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_4479,No,Urban,Yes,1.0,32,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_2962,No,Urban,Yes,2.0,56,Male,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_178,No,Urban,No,4.0,18,Female,Parent,Divorced/Seperated,Secondary education,Remittance Dependent
uniqueid_5232,No,Urban,No,,25,Male,Parent,Divorced/Seperated,Primary education,Self employed
uniqueid_2128,No,Urban,Yes,1.0,65,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_6530,No,Rural,No,2.0,41,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_5940,No,Urban,Yes,2.0,49,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5133,No,Rural,Yes,1.0,42,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_1294,No,Urban,No,3.0,64,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1697,No,Urban,No,4.0,78,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_368,No,Urban,Yes,2.0,33,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_6509,No,Urban,No,1.0,75,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
uniqueid_3017,No,Urban,Yes,4.0,42,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_623,Yes,Rural,Yes,5.0,44,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_733,Yes,Rural,Yes,3.0,58,Female,Spouse,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_6358,No,Rural,No,,42,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_5237,No,Urban,No,5.0,16,Female,Child,Divorced/Seperated,Primary education,Remittance Dependent
uniqueid_5624,Yes,Rural,Yes,3.0,52,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
uniqueid_6333,No,Rural,Yes,3.0,17,Female,Parent,Divorced/Seperated,Primary education,No Income
uniqueid_3371,No,Urban,No,,40,Female,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_1403,No,Urban,No,5.0,18,Female,Parent,Single/Never Married,Primary education,Self employed
uniqueid_859,No,Urban,No,2.0,62,Female,Head of Household,Widowed,No formal education,No Income
uniqueid_153,No,Urban,No,3.0,60,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
uniqueid_1084,No,Urban,No,2.0,30,Female,Spouse,Single/Never Married,Primary education,Informally employed
